"","CAMHB 0.0625ug/mL Nafcillin 1","CAMHB 0.5ug/mL Nafcillin 1","CAMHB 0ug/mL Nafcillin 1","CAMHB 0.0625ug/mL Nafcillin 2","CAMHB 0.5ug/mL Nafcillin 3","CAMHB 0ug/mL Nafcillin 2","CAMHB 0ug/mL Nafcillin 3","CAMHB 0.0625ug/mL Nafcillin 3","CAMHB 0.5ug/mL Nafcillin 2","R10LB 0.031ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 1","R10LB 0ug/mL Nafcillin 1","R10LB 0.0625ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 2","R10LB 0ug/mL Nafcillin 3","R10LB 0.031ug/mL Nafcillin 3","R10LB 0ug/mL Nafcillin 2","R10LB 0.0625ug/mL Nafcillin 2"
"USA300HOU_RS00250",3.01749394994142,3.91208652803931,2.52665155263934,3.41135746869129,2.95095910140128,4.00676627267701,3.66792289772798,2.82233430178719,2.06109523116192,3.52967763855613,4.53945169913391,3.89859415898812,4.25426807110532,4.10827627406811,4.20200184608914,3.50948402970721,4.1190166473499,3.76133021691412
"USA300HOU_RS00255",4.6541559256252,4.30846160039113,4.82100704435985,4.52546178043972,4.50574493735299,4.79067944111459,4.74443968808825,4.51252753593245,4.38654181740276,5.35476475605359,5.40372321409864,5.13840691750151,5.1109640535419,5.6567581759615,5.69494983128346,5.0711260355941,5.29656631332976,4.93108977767174
"USA300HOU_RS00260",5.65579449881906,5.9268758006245,5.13533276297353,5.58071360630733,5.41971387222901,5.80793725738958,5.61436661026282,5.57802654075984,5.19114717146117,6.16489525520753,6.41835510060392,5.9131494506064,6.51937559545926,6.61205662931236,6.12670077752614,5.99597353788698,5.87497319750229,6.1128137775613
"USA300HOU_RS00270",8.5312038550779,8.62465656183516,8.03827739180529,8.51224942632719,8.16209272196344,8.43264659661155,8.40585421649194,8.51473089457717,8.15764768899511,8.58931689648679,8.49637665776473,8.09653284161371,8.53522395808673,8.6012897811079,8.26216100645203,8.46623339954686,8.22829409378374,8.43931202177049
"USA300HOU_RS00275",3.74445790366442,4.14686856444287,4.1460421771078,4.15710092998304,4.31982746401747,3.6139806132371,4.0014015738945,3.6685891337542,4.22289950546542,5.36122254238339,5.51215477713894,4.72990177295664,5.29617721629602,5.47959494335022,4.80469448246233,5.68860301421379,5.34752063914456,4.94240239723166
"USA300HOU_RS00305",5.69283150094402,5.57323612121031,5.76526627042477,5.69973468684417,5.5932562293591,5.78735510903953,5.756925830966,5.6535259644593,5.58874310094799,5.65796900331472,5.60124406639131,5.31067546656937,5.60395122776065,5.49380199303827,5.50489586855225,5.52298405138109,5.49610813463116,5.6415393646799
"USA300HOU_RS00310",5.10563827550336,5.08005039662319,5.26100856104844,5.01940103638902,5.11311487864645,5.55611867804841,5.1626276710208,5.17080563763567,4.95781596905459,4.96293508191292,4.90472797531748,4.62634111028208,5.02082692908755,4.89302670951706,4.68199398212102,4.88839585898202,4.68862283004711,4.99331144148944
"USA300HOU_RS00315",3.04621825522412,3.54454876895157,2.61345858876278,2.94243889673761,2.80105485052345,3.24705606175679,3.07507255729737,3.26841590991715,2.96958802514064,3.33897119879546,2.91058060125751,3.1069405778259,3.62310538736773,3.33525008320847,2.93214939960813,2.82229343629589,3.07285788830684,3.00702167762324
"USA300HOU_RS00320",3.78622261805126,3.68987550658872,3.93348948471741,3.7877269009339,3.65226331329162,3.68521837443698,3.86156891041832,3.85860557548711,3.89461592121374,3.41180234589115,3.63884105447007,3.23259706484239,3.60320455360327,3.64046426519011,3.28078834180134,3.54064359039169,3.22755935586782,3.52333104505387
"USA300HOU_RS00325",4.66734311302892,4.4038265489554,4.6300055993669,4.67399737637203,4.54581912420958,4.46348625197658,4.61039463722849,4.52772663307758,4.5380480843707,3.67450337938814,3.63589090513209,3.62108519765925,3.8343550811488,3.95506991424705,3.41668089090158,3.82126869831265,3.62206668874704,3.50834429194417
"USA300HOU_RS00330",3.28778122873206,2.95305593817435,2.51535285165252,2.93456672869195,3.01131582728104,3.44624481242132,2.5849234908616,2.96673295427841,2.181795061143,3.5028481728284,3.2223843207912,1.67552727473911,3.30796992794383,3.62010634986238,2.590628296095,2.72382513903562,2.32187884771371,2.64891627490109
"USA300HOU_RS00335",7.85665514311847,7.92996184546768,7.67728672788223,7.86509796893776,7.60213141638858,8.09660507129044,8.08916781326815,7.69000168968622,7.37912515032674,8.16578178599427,7.92808300262189,8.19403836050777,8.23697456701203,8.51530173167042,7.75681770438452,8.13498500121028,7.79035473273867,7.87483256689658
"USA300HOU_RS00350",8.2377568070231,8.00765287220407,8.48507443613499,8.23098332514792,8.10263854319746,8.45978336355706,8.4515417546171,8.17184921066472,7.99614553225589,7.49368802515312,7.34058045017165,7.4178978003045,7.37615561622385,7.66589852959634,7.32268352701697,7.44154685093337,7.29565758590405,7.21151024550676
